url,org_name,body,sectionType
https://713books.com/submit/,7.13 Books,/ Deadline: November 1 2018 / Fiction / $5,Presses
http://alicejamesbooks.org/alice-james-award/,Alice James Books - Alice James Award, / Deadline: November 1 2018 / Poetry / $30 / Prize: $3000 + Publication,Presses
https://americanpoetryreview.submittable.com/submit,American Poetry Review/Honickman First Book Prize,/ Deadline: November 1 2018 / Poetry / $25 / Prize: $3000 + Publication with Copper Canyon Press / Judge: Sharon Olds,Presses
https://levineprize.submittable.com/submit,Anhinga Press - Phillip Levine Prize in Poetry,/ Deadline: October 1 2018 / Poetry / $28 / Prize: $2000 + Publication / Judge: Peter Everwine,Presses
http://www.anothernewcalligraphy.com/search/label/information?max-results=50,Another New Calligraphy, / Now / Music, Books,Presses
http://www.apocalypse-party.com/submissions.html,Apocalypse Party, / Year-Round / All Genres,Presses
https://autumnhousepress.submittable.com/submit,Autumn House Press — Open Call,/ Deadline: November 1 2018 / All Genres / $10,Presses
http://www.bauhanpublishing.com/the-monadnock-essay-collection-prize/,Bauhan Publishing - Monadnock Essay Collection Prize, / Deadline: October 22 2018 / $25 / $1000 + Publication ,Presses
http://blpress.org/contact/,Bellevue Literary Press, / Year-Round / Fiction | Nonfiction,Presses
http://www.newletters.org/writers-wanted/BkMk-writing-contests,BkMk Press Book Prizes, / Deadline: January 15 2019 / Fiction | Poetry / $30 / Prize: $1000 + Publication,Presses
https://blacklawrencepress.submittable.com/submit,Black Lawrence Press - Open Reading Period, / Deadline: November 1 2018 - November 30 2018 / All Genres,Presses
http://www.blazevox.org/index.php/faqs/,BlazeVOX, / Year-Round / Poetry | Fiction,Presses
https://www.blfpress.com/submissions/,BLF Press,/ Now / Fiction by Black Women Writers,Presses
https://www.boaeditions.org/pages/a-poulin-jr-poetry-prize,BOA Editions - A. Poulin Jr. Poetry Prize, / Deadline: November 30 2018 / Poetry / $25 / Prize: $1000 + Publication / Judge: Patricia Smith,Presses
http://www.boost-house.com/submit/,Boost House, / Now / Poetry,Presses
http://www.brainmillpress.com/submit/,Brain Mill Press - Kindred Books, / Now / Fiction by Marginalized Writers,Presses
http://brickroadpoetrypress.com/poetry-book-contest/,Brick Road Poetry Press - Book Contest, / Deadline: November 1 2018 / Poetry / $25 / Prize: $1000 + Publication,Presses
http://brighthillpress.org/submissionguidelines/,Bright Hill Press - Poetry Book Competition, / Deadline: December 31 2018 / Poetry / $27 / Prize: $1000 + Publication,Presses
